Date : 2023-12-29 23:26:02
Directory : d:\Electronic-Piano-Learning-Machine
Total : 331 files,  85934 codes, 8936 comments, 6795 blanks, all 101665 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Electronic-Piano-Learning-Machine.cache\wt                                                                                               |          1 |         18 |          3 |          1 |         22 |
| Electronic-Piano-Learning-Machine.gen                                                                                                    |         28 |     47,072 |      3,558 |      2,333 |     52,963 |
| Electronic-Piano-Learning-Machine.gen\sources_1                                                                                          |         28 |     47,072 |      3,558 |      2,333 |     52,963 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip                                                                                       |         28 |     47,072 |      3,558 |      2,333 |     52,963 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo                                                                             |          6 |     31,267 |      1,535 |      1,230 |     34,032 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo (Files)                                                                     |          3 |     15,104 |         32 |         50 |     15,186 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\hdl                                                                         |          1 |      7,786 |          3 |         12 |      7,801 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\sim                                                                         |          1 |        469 |         49 |          7 |        525 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\simulation                                                                  |          1 |      7,908 |      1,451 |      1,161 |     10,520 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core                                                                              |         11 |      7,966 |      1,013 |        552 |      9,531 |
| Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1                                                                             |         11 |      7,839 |      1,010 |        551 |      9,400 |
| Electronic-Piano-Learning-Machine.hw                                                                                                     |          1 |         13 |          4 |          2 |         19 |
| Electronic-Piano-Learning-Machine.hw\hw_1                                                                                                |          1 |         13 |          4 |          2 |         19 |
| Electronic-Piano-Learning-Machine.ip_user_files                                                                                          |         55 |     25,306 |      3,927 |      2,703 |     31,936 |
| Electronic-Piano-Learning-Machine.ip_user_files\ip                                                                                       |          2 |         15 |         33 |          4 |         52 |
| Electronic-Piano-Learning-Machine.ip_user_files\ip\clk_core                                                                              |          1 |          8 |         17 |          2 |         27 |
| Electronic-Piano-Learning-Machine.ip_user_files\ip\clk_gen                                                                               |          1 |          7 |         16 |          2 |         25 |
| Electronic-Piano-Learning-Machine.ip_user_files\ipstatic                                                                                 |          8 |     18,177 |      2,282 |      1,668 |     22,127 |
| Electronic-Piano-Learning-Machine.ip_user_files\ipstatic (Files)                                                                         |          6 |      2,483 |        828 |        495 |      3,806 |
| Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\hdl                                                                             |          1 |      7,786 |          3 |         12 |      7,801 |
| Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\simulation                                                                      |          1 |      7,908 |      1,451 |      1,161 |     10,520 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts                                                                              |         45 |      7,114 |      1,612 |      1,031 |      9,757 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo                                                                    |         15 |      2,384 |        538 |        349 |      3,271 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\activehdl                                                          |          2 |        237 |         73 |         39 |        349 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\modelsim                                                           |          2 |        254 |         77 |         44 |        375 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\questa                                                             |          2 |        262 |         78 |         45 |        385 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\riviera                                                            |          2 |        238 |         74 |         40 |        352 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\vcs                                                                |          2 |        296 |         84 |         59 |        439 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xcelium                                                            |          2 |        299 |         85 |         61 |        445 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xsim                                                               |          3 |        798 |         67 |         61 |        926 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core                                                                     |         15 |      2,366 |        537 |        341 |      3,244 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\activehdl                                                           |          2 |        237 |         73 |         39 |        349 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\modelsim                                                            |          2 |        254 |         77 |         44 |        375 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\questa                                                              |          2 |        262 |         78 |         45 |        385 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\riviera                                                             |          2 |        238 |         74 |         40 |        352 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\vcs                                                                 |          2 |        288 |         84 |         56 |        428 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\xcelium                                                             |          2 |        291 |         85 |         58 |        434 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\xsim                                                                |          3 |        796 |         66 |         59 |        921 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1                                                                    |         15 |      2,364 |        537 |        341 |      3,242 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\activehdl                                                          |          2 |        237 |         73 |         39 |        349 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\modelsim                                                           |          2 |        254 |         77 |         44 |        375 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\questa                                                             |          2 |        262 |         78 |         45 |        385 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\riviera                                                            |          2 |        238 |         74 |         40 |        352 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\vcs                                                                |          2 |        287 |         84 |         56 |        427 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\xcelium                                                            |          2 |        290 |         85 |         58 |        433 |
| Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_gen_1\xsim                                                               |          3 |        796 |         66 |         59 |        921 |
| Electronic-Piano-Learning-Machine.runs                                                                                                   |        165 |      5,346 |        337 |        867 |      6,550 |
| Electronic-Piano-Learning-Machine.runs\.jobs                                                                                             |        111 |      1,133 |          0 |        222 |      1,355 |
| Electronic-Piano-Learning-Machine.runs\clk_core_synth_1                                                                                  |         10 |        578 |         76 |        107 |        761 |
| Electronic-Piano-Learning-Machine.runs\clk_gen_synth_1                                                                                   |         12 |        804 |        107 |        130 |      1,041 |
| Electronic-Piano-Learning-Machine.runs\impl_1                                                                                            |         22 |      1,360 |         78 |        295 |      1,733 |
| Electronic-Piano-Learning-Machine.runs\synth_1                                                                                           |         10 |      1,471 |         76 |        113 |      1,660 |
| Electronic-Piano-Learning-Machine.sim                                                                                                    |         20 |        290 |         48 |         20 |        358 |
| Electronic-Piano-Learning-Machine.sim\sim_1                                                                                              |         20 |        290 |         48 |         20 |        358 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav                                                                                        |         20 |        290 |         48 |         20 |        358 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim                                                                                   |         20 |        290 |         48 |         20 |        358 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim (Files)                                                                           |          8 |         62 |         48 |          8 |        118 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim\xsim.dir                                                                          |         12 |        228 |          0 |         12 |        240 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim\xsim.dir\Buzzer_test_behav                                                        |          3 |         57 |          0 |          3 |         60 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim\xsim.dir\bcd_tb_behav                                                             |          3 |         57 |          0 |          3 |         60 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim\xsim.dir\beats_tb_behav                                                           |          3 |         57 |          0 |          3 |         60 |
| Electronic-Piano-Learning-Machine.sim\sim_1\behav\xsim\xsim.dir\score_cal_tb_behav                                                       |          3 |         57 |          0 |          3 |         60 |
| Electronic-Piano-Learning-Machine.srcs                                                                                                   |         50 |      3,143 |        898 |        726 |      4,767 |
| Electronic-Piano-Learning-Machine.srcs\sim_1                                                                                             |          3 |        172 |         21 |         29 |        222 |
| Electronic-Piano-Learning-Machine.srcs\sim_1\new                                                                                         |          3 |        172 |         21 |         29 |        222 |
| Electronic-Piano-Learning-Machine.srcs\sources_1                                                                                         |         47 |      2,971 |        877 |        697 |      4,545 |
| Electronic-Piano-Learning-Machine.srcs\sources_1\new                                                                                     |         47 |      2,971 |        877 |        697 |      4,545 |
| Electronic-Piano-Learning-Machine.srcs\sources_1\new (Files)                                                                             |         31 |      1,705 |         90 |        310 |      2,105 |
| Electronic-Piano-Learning-Machine.srcs\sources_1\new\bt                                                                                  |         16 |      1,266 |        787 |        387 |      2,440 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\3\5\355768f5240c0d94\char_info_sim_netlist.v      | Verilog          |      3,762 |         16 |         47 |      3,825 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\3\5\355768f5240c0d94\char_info_stub.v             | Verilog          |         14 |         17 |          2 |         33 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\5\a\5a5d18c4b091e3e7\clk_core_sim_netlist.v       | Verilog          |        245 |         15 |         21 |        281 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\5\a\5a5d18c4b091e3e7\clk_core_stub.v              | Verilog          |         10 |         18 |          2 |         30 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\8\4\8423a2099cfbfe0b\clk_core_sim_netlist.v       | Verilog          |        234 |         15 |         21 |        270 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\8\4\8423a2099cfbfe0b\clk_core_stub.v              | Verilog          |          8 |         17 |          2 |         27 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\a\d\ad628dfc43238c48\clk_gen_sim_netlist.v        | Verilog          |        223 |         15 |         21 |        259 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\a\d\ad628dfc43238c48\clk_gen_stub.v               | Verilog          |          7 |         16 |          2 |         25 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\f\6\f6f8fdbd73eb5941\clk_core_sim_netlist.v       | Verilog          |        234 |         15 |         21 |        270 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\ip\2023.1\f\6\f6f8fdbd73eb5941\clk_core_stub.v              | Verilog          |          8 |         17 |          2 |         27 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.cache\wt\webtalk_pa.xml                                           | XML              |         18 |          3 |          1 |         22 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\char_fifo.xml                          | XML              |     11,357 |          0 |          1 |     11,358 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\char_fifo_sim_netlist.v                | Verilog          |      3,733 |         15 |         47 |      3,795 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\char_fifo_stub.v                       | Verilog          |         14 |         17 |          2 |         33 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\hdl\fifo_generator_v13_2_rfs.v         | Verilog          |      7,786 |          3 |         12 |      7,801 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\sim\char_fifo.v                        | Verilog          |        469 |         49 |          7 |        525 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\char_fifo\simulation\fifo_generator_vlog_beh.v   | Verilog          |      7,908 |      1,451 |      1,161 |     10,520 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\clk_core.v                              | Verilog          |         19 |         70 |          7 |         96 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\clk_core.xml                            | XML              |      5,117 |          0 |          1 |      5,118 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\clk_core_clk_wiz.v                      | Verilog          |        105 |         83 |         26 |        214 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\clk_core_sim_netlist.v                  | Verilog          |        234 |         15 |         21 |        270 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\clk_core_stub.v                         | Verilog          |          8 |         17 |          2 |         27 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_7s_mmcm.vh            | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_7s_pll.vh             | Verilog          |        364 |        115 |         53 |        532 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_us_mmcm.vh            | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_us_pll.vh             | Verilog          |        296 |        143 |         92 |        531 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_us_plus_mmcm.vh       | Verilog          |        635 |        141 |         86 |        862 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_core\mmcm_pll_drp_func_us_plus_pll.vh        | Verilog          |        300 |        147 |         90 |        537 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\clk_gen.v                              | Verilog          |         17 |         69 |          7 |         93 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\clk_gen.xml                            | XML              |      5,011 |          0 |          1 |      5,012 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\clk_gen_clk_wiz.v                      | Verilog          |         98 |         82 |         25 |        205 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\clk_gen_sim_netlist.v                  | Verilog          |        223 |         15 |         21 |        259 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\clk_gen_stub.v                         | Verilog          |          7 |         16 |          2 |         25 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_7s_mmcm.vh           | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_7s_pll.vh            | Verilog          |        364 |        115 |         53 |        532 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_us_mmcm.vh           | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_us_pll.vh            | Verilog          |        296 |        143 |         92 |        531 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_us_plus_mmcm.vh      | Verilog          |        635 |        141 |         86 |        862 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.gen\sources_1\ip\clk_gen_1\mmcm_pll_drp_func_us_plus_pll.vh       | Verilog          |        300 |        147 |         90 |        537 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.hw\hw_1\hw.xml                                                    | XML              |         13 |          4 |          2 |         19 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ip\clk_core\clk_core_stub.v                         | Verilog          |          8 |         17 |          2 |         27 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ip\clk_gen\clk_gen_stub.v                           | Verilog          |          7 |         16 |          2 |         25 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\hdl\fifo_generator_v13_2_rfs.v             | Verilog          |      7,786 |          3 |         12 |      7,801 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_7s_mmcm.vh               | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_7s_pll.vh                | Verilog          |        364 |        115 |         53 |        532 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_us_mmcm.vh               | Verilog          |        444 |        141 |         87 |        672 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_us_pll.vh                | Verilog          |        296 |        143 |         92 |        531 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_us_plus_mmcm.vh          | Verilog          |        635 |        141 |         86 |        862 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\mmcm_pll_drp_func_us_plus_pll.vh           | Verilog          |        300 |        147 |         90 |        537 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\ipstatic\simulation\fifo_generator_vlog_beh.v       | Verilog          |      7,908 |      1,451 |      1,161 |     10,520 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\activehdl\char_fifo.sh        | Shell Script     |        170 |         70 |         24 |        264 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\activehdl\glbl.v              | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\modelsim\char_fifo.sh         | Shell Script     |        187 |         74 |         29 |        290 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\modelsim\glbl.v               | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\questa\char_fifo.sh           | Shell Script     |        195 |         75 |         30 |        300 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\questa\glbl.v                 | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\riviera\char_fifo.sh          | Shell Script     |        171 |         71 |         25 |        267 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\riviera\glbl.v                | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\vcs\char_fifo.sh              | Shell Script     |        229 |         81 |         44 |        354 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\vcs\glbl.v                    | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xcelium\char_fifo.sh          | Shell Script     |        232 |         82 |         46 |        360 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xcelium\glbl.v                | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xsim\char_fifo.sh             | Shell Script     |        229 |         64 |         45 |        338 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xsim\glbl.v                   | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\char_fifo\xsim\xsim.ini                 | Ini              |        502 |          0 |          1 |        503 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\activehdl\clk_core.sh          | Shell Script     |        170 |         70 |         24 |        264 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\activehdl\glbl.v               | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\modelsim\clk_core.sh           | Shell Script     |        187 |         74 |         29 |        290 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\modelsim\glbl.v                | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\questa\clk_core.sh             | Shell Script     |        195 |         75 |         30 |        300 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\questa\glbl.v                  | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\riviera\clk_core.sh            | Shell Script     |        171 |         71 |         25 |        267 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\riviera\glbl.v                 | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\vcs\clk_core.sh                | Shell Script     |        221 |         81 |         41 |        343 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\vcs\glbl.v                     | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\xcelium\clk_core.sh            | Shell Script     |        224 |         82 |         43 |        349 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\xcelium\glbl.v                 | Verilog          |         67 |          3 |         15 |         85 |
| d:\Electronic-Piano-Learning-Machine\Electronic-Piano-Learning-Machine.ip_user_files\sim_scripts\clk_core\xsim\clk_core.sh               | Shell Script     |        227 |         63 |         43 |        333 |
